mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
869177,"Keomah silt loam, 0 to 2 percent slopes",Keomah,90,Somewhat poorly drained,15.0,33.0,0.65,5.7,0.19,20.0,4.0,76.0,1.45,11.6,FIELD_0009
869199,"Rozetta silt loam, 2 to 5 percent slopes, eroded",Rozetta,90,Well drained,15.0,64.0,0.25,5.6,0.19,31.0,4.0,65.0,1.45,23.3,FIELD_0009
869178,"Keomah silt loam, 2 to 5 percent slopes, eroded",Keomah,90,Somewhat poorly drained,23.0,38.0,0.5,5.2,0.17,38.0,2.0,60.0,1.42,,FIELD_0009
869259,"Senachwine-Hennepin loams, 18 to 35 percent slopes",Senachwine,50,Well drained,0.0,15.0,2.0,6.5,0.22,16.5,43.5,40.0,1.43,9.0,FIELD_0009
1913534,"Senachwine-Hennepin loams, 35 to 60 percent slopes",Senachwine,50,Well drained,0.0,15.0,2.0,6.5,0.22,16.5,43.5,40.0,1.43,9.0,FIELD_0009
869259,"Senachwine-Hennepin loams, 18 to 35 percent slopes",Senachwine,50,Well drained,15.0,53.0,0.25,6.2,0.14,31.0,35.4,33.6,1.55,16.2,FIELD_0009
1913534,"Senachwine-Hennepin loams, 35 to 60 percent slopes",Senachwine,50,Well drained,15.0,53.0,0.25,6.2,0.14,31.0,35.4,33.6,1.55,16.2,FIELD_0009
869259,"Senachwine-Hennepin loams, 18 to 35 percent slopes",Hennepin,30,Well drained,0.0,15.0,2.0,7.0,0.15,25.0,38.5,36.5,1.3,13.5,FIELD_0009
1913534,"Senachwine-Hennepin loams, 35 to 60 percent slopes",Hennepin,30,Well drained,0.0,15.0,2.0,7.0,0.15,25.0,38.4,36.6,1.3,13.5,FIELD_0009
869259,"Senachwine-Hennepin loams, 18 to 35 percent slopes",Hennepin,30,Well drained,15.0,38.0,0.25,7.3,0.13,24.0,39.1,36.9,1.45,12.6,FIELD_0009
1913534,"Senachwine-Hennepin loams, 35 to 60 percent slopes",Hennepin,30,Well drained,15.0,28.0,0.25,7.3,0.13,24.0,39.4,36.6,1.45,12.6,FIELD_0009
1913534,"Senachwine-Hennepin loams, 35 to 60 percent slopes",Hennepin,30,Well drained,28.0,152.0,0.2,7.9,0.11,19.0,37.0,44.0,1.75,9.4,FIELD_0009
869178,"Keomah silt loam, 2 to 5 percent slopes, eroded",Rozetta,6,Well drained,0.0,15.0,1.5,6.8,0.23,19.0,4.0,77.0,1.45,16.1,FIELD_0009
869205,"Russell silt loam, Bloomington Ridged Plain, 5 to 10 percent slopes, eroded",Fincastle,6,Somewhat poorly drained,0.0,25.0,2.3,5.6,0.22,19.0,8.0,73.0,1.45,16.4,FIELD_0009
869178,"Keomah silt loam, 2 to 5 percent slopes, eroded",Rozetta,6,Well drained,15.0,64.0,0.25,5.6,0.19,31.0,4.0,65.0,1.45,23.3,FIELD_0009
869205,"Russell silt loam, Bloomington Ridged Plain, 5 to 10 percent slopes, eroded",Fincastle,6,Somewhat poorly drained,25.0,36.0,0.8,5.2,0.21,20.0,8.0,72.0,1.5,16.4,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Rozetta,5,Well drained,0.0,18.0,2.0,6.8,0.23,19.0,4.0,77.0,1.41,16.3,FIELD_0009
869192,"Birkbeck silt loam, 2 to 5 percent slopes, eroded",Sable,5,Poorly drained,0.0,58.0,4.5,6.0,0.19,32.0,2.0,66.0,1.3,26.9,FIELD_0009
869193,"Birkbeck silt loam, 5 to 10 percent slopes, eroded",Sabina,5,Somewhat poorly drained,0.0,20.0,2.0,6.3,0.2,18.0,9.0,73.0,1.45,14.0,FIELD_0009
869199,"Rozetta silt loam, 2 to 5 percent slopes, eroded",Keomah,5,Somewhat poorly drained,0.0,15.0,2.0,6.5,0.22,16.0,4.0,80.0,1.44,13.7,FIELD_0009
869199,"Rozetta silt loam, 2 to 5 percent slopes, eroded",Sable,5,Poorly drained,0.0,58.0,4.5,6.0,0.19,32.0,1.7,66.3,1.3,26.9,FIELD_0009
869199,"Rozetta silt loam, 2 to 5 percent slopes, eroded",Keomah,5,Somewhat poorly drained,15.0,33.0,0.65,5.7,0.19,20.0,4.0,76.0,1.45,11.6,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Rozetta,5,Well drained,18.0,28.0,0.55,6.6,0.23,19.0,4.0,77.0,1.46,15.5,FIELD_0009
869193,"Birkbeck silt loam, 5 to 10 percent slopes, eroded",Sabina,5,Somewhat poorly drained,20.0,30.0,0.7,6.2,0.19,21.0,5.0,74.0,1.45,15.0,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Rozetta,5,Well drained,28.0,114.0,0.25,5.5,0.19,31.0,4.0,65.0,1.45,23.3,FIELD_0009
869194,"Birkbeck silt loam, 10 to 18 percent slopes, eroded",Hennepin,3,Well drained,,,,,,,,,,,FIELD_0009
869178,"Keomah silt loam, 2 to 5 percent slopes, eroded",Sable,3,Poorly drained,0.0,58.0,4.5,6.0,0.19,32.0,1.7,66.3,1.3,26.9,FIELD_0009
1913192,"Ross loam, 0 to 2 percent slopes, occasionally flooded",Sawmill,3,Poorly drained,0.0,66.0,5.5,7.0,0.2,31.0,8.0,61.0,1.35,28.0,FIELD_0009
2215574,"Senachwine silt loam, 5 to 10 percent slopes, eroded",Drummer,3,Poorly drained,0.0,36.0,5.5,6.7,0.18,31.0,8.0,61.0,1.3,30.0,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Rushville,2,Poorly drained,,,,,,,,,,,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Denny,2,Poorly drained,0.0,23.0,2.5,6.2,0.23,23.0,4.0,73.0,1.35,19.3,FIELD_0009
2215574,"Senachwine silt loam, 5 to 10 percent slopes, eroded",Fincastle,2,Somewhat poorly drained,0.0,25.0,2.3,5.6,0.22,19.0,8.0,73.0,1.45,16.4,FIELD_0009
2215574,"Senachwine silt loam, 5 to 10 percent slopes, eroded",Sabina,2,Somewhat poorly drained,0.0,20.0,2.0,6.3,0.2,18.0,9.0,73.0,1.45,14.0,FIELD_0009
2215574,"Senachwine silt loam, 5 to 10 percent slopes, eroded",Sabina,2,Somewhat poorly drained,20.0,30.0,0.7,6.2,0.19,21.0,5.0,74.0,1.45,15.0,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Denny,2,Poorly drained,23.0,41.0,0.5,6.0,0.19,18.0,4.0,78.0,1.46,14.8,FIELD_0009
2215574,"Senachwine silt loam, 5 to 10 percent slopes, eroded",Fincastle,2,Somewhat poorly drained,25.0,36.0,0.8,5.2,0.21,20.0,8.0,72.0,1.5,16.4,FIELD_0009
869178,"Keomah silt loam, 2 to 5 percent slopes, eroded",Rushville,1,Poorly drained,,,,,,,,,,,FIELD_0009
869177,"Keomah silt loam, 0 to 2 percent slopes",Sable,1,Poorly drained,0.0,58.0,4.5,6.0,0.19,32.0,1.7,66.3,1.3,26.9,FIELD_0009
2024905,Water,Water,100,,,,,,,,,,,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Hoyleton,90,Somewhat poorly drained,0.0,20.0,3.0,6.0,0.22,14.9,8.0,77.1,1.4,13.3,FIELD_0010
1902644,"Ava silt loam, 2 to 5 percent slopes",Ava,90,Moderately well drained,0.0,15.0,2.0,6.3,0.22,15.0,7.0,78.0,1.45,8.2,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Passport,90,Somewhat poorly drained,0.0,10.0,1.6,7.0,0.2,17.0,17.0,66.0,1.5,9.2,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Blair,90,Somewhat poorly drained,0.0,13.0,1.5,6.2,0.2,23.0,5.0,72.0,1.36,19.1,FIELD_0010
1906363,"Wynoose silt loam, 0 to 2 percent slopes",Wynoose,90,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.4,13.9,FIELD_0010
1906364,"Bluford silt loam, 0 to 2 percent slopes",Bluford,90,Somewhat poorly drained,0.0,18.0,1.75,6.6,0.22,15.0,8.0,77.0,1.4,13.2,FIELD_0010
1906366,"Bluford silt loam, 2 to 5 percent slopes",Bluford,90,Somewhat poorly drained,0.0,18.0,1.75,6.6,0.22,15.0,8.0,77.0,1.4,13.2,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Bluford,90,Somewhat poorly drained,0.0,15.0,1.75,6.6,0.22,15.0,8.0,77.0,1.4,13.2,FIELD_0010
2024117,"Ava silt loam, 5 to 10 percent slopes, eroded",Ava,90,Moderately well drained,0.0,23.0,1.25,5.9,0.22,18.0,5.0,77.0,1.5,9.7,FIELD_0010
2025098,"Belknap silt loam, 0 to 2 percent slopes, frequently flooded",Belknap,90,Somewhat poorly drained,0.0,18.0,2.5,5.9,0.23,16.0,5.0,79.0,1.44,8.7,FIELD_0010
2025099,"Piopolis silty clay loam, 0 to 2 percent slopes, frequently flooded",Piopolis,90,Poorly drained,0.0,18.0,2.0,6.2,0.17,31.0,6.0,63.0,1.4,16.7,FIELD_0010
2027464,"Creal silt loam, 0 to 2 percent slopes, rarely flooded",Creal,90,Somewhat poorly drained,0.0,20.0,2.0,6.2,0.21,22.0,5.0,73.0,1.4,18.6,FIELD_0010
2231394,"Bonnie silt loam, sodic, 0 to 2 percent slopes, frequently flooded",Bonnie,90,Poorly drained,0.0,30.0,1.5,6.7,0.21,20.0,9.0,71.0,1.4,10.8,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Hoyleton,90,Somewhat poorly drained,0.0,20.0,3.0,6.0,0.22,15.0,8.0,77.0,1.35,13.4,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Passport,90,Somewhat poorly drained,10.0,97.0,0.35,5.9,0.13,28.0,27.0,45.0,1.6,14.7,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Blair,90,Somewhat poorly drained,13.0,30.0,0.5,5.3,0.19,31.0,5.0,64.0,1.48,,FIELD_0010
1902644,"Ava silt loam, 2 to 5 percent slopes",Ava,90,Moderately well drained,15.0,36.0,0.7,5.3,0.22,17.0,5.0,78.0,1.45,,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Bluford,90,Somewhat poorly drained,15.0,23.0,0.65,5.0,0.22,19.0,7.0,74.0,1.48,,FIELD_0010
1906363,"Wynoose silt loam, 0 to 2 percent slopes",Wynoose,90,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.4,,FIELD_0010
1906364,"Bluford silt loam, 0 to 2 percent slopes",Bluford,90,Somewhat poorly drained,18.0,49.0,0.65,5.0,0.22,19.0,7.0,74.0,1.48,,FIELD_0010
1906366,"Bluford silt loam, 2 to 5 percent slopes",Bluford,90,Somewhat poorly drained,18.0,49.0,0.65,5.0,0.22,19.0,7.0,74.0,1.48,,FIELD_0010
2025098,"Belknap silt loam, 0 to 2 percent slopes, frequently flooded",Belknap,90,Somewhat poorly drained,18.0,150.0,1.0,5.2,0.21,16.0,5.0,79.0,1.48,,FIELD_0010
2025099,"Piopolis silty clay loam, 0 to 2 percent slopes, frequently flooded",Piopolis,90,Poorly drained,18.0,94.0,1.0,5.1,0.16,31.0,5.0,64.0,1.4,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Hoyleton,90,Somewhat poorly drained,20.0,28.0,0.6,5.5,0.19,21.0,5.0,74.0,1.4,17.0,FIELD_0010
2027464,"Creal silt loam, 0 to 2 percent slopes, rarely flooded",Creal,90,Somewhat poorly drained,20.0,74.0,0.4,5.5,0.2,22.0,5.0,73.0,1.5,17.4,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Hoyleton,90,Somewhat poorly drained,20.0,28.0,0.6,5.5,0.19,19.0,5.0,76.0,1.5,,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Bluford,90,Somewhat poorly drained,23.0,81.0,0.35,4.7,0.14,41.0,3.0,56.0,1.4,,FIELD_0010
2024117,"Ava silt loam, 5 to 10 percent slopes, eroded",Ava,90,Moderately well drained,23.0,71.0,0.5,5.0,0.17,31.0,3.0,66.0,1.5,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Hoyleton,90,Somewhat poorly drained,28.0,99.0,0.3,5.1,0.14,39.0,3.0,58.0,1.4,,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Hoyleton,90,Somewhat poorly drained,28.0,99.0,0.3,5.1,0.14,39.0,3.0,58.0,1.41,,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Cisne,88,Poorly drained,0.0,20.0,1.75,5.8,0.22,15.0,6.0,79.0,1.4,13.2,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Cisne,88,Poorly drained,20.0,43.0,0.5,5.5,0.21,14.0,6.0,80.0,1.5,,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Bluford,85,Somewhat poorly drained,0.0,15.0,1.75,6.6,0.22,15.0,8.0,77.0,1.48,13.2,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Bluford,85,Somewhat poorly drained,15.0,45.0,0.65,5.0,0.22,19.0,7.0,74.0,1.47,,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Bluford,83,Somewhat poorly drained,0.0,18.0,1.75,6.6,0.22,15.0,8.0,77.0,1.48,13.2,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Bluford,83,Somewhat poorly drained,18.0,49.0,0.65,5.0,0.22,19.0,7.0,74.0,1.47,,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Wynoose,80,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.45,13.9,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Wynoose,80,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.46,,FIELD_0010
2024913,"Hickory-Passport silt loams, 10 to 18 percent slopes, eroded",Hickory,45,Well drained,0.0,25.0,1.75,6.6,0.16,21.0,20.0,59.0,1.5,11.3,FIELD_0010
2024914,"Hickory-Passport clay loams, 10 to 18 percent slopes, severely eroded",Hickory,45,Well drained,0.0,25.0,0.75,6.6,0.12,31.0,30.0,39.0,1.55,17.5,FIELD_0010
2024913,"Hickory-Passport silt loams, 10 to 18 percent slopes, eroded",Hickory,45,Well drained,25.0,114.0,0.2,5.3,0.12,31.0,33.0,36.0,1.6,16.1,FIELD_0010
2024914,"Hickory-Passport clay loams, 10 to 18 percent slopes, severely eroded",Hickory,45,Well drained,25.0,114.0,0.2,5.3,0.12,31.0,33.0,36.0,1.6,16.1,FIELD_0010
2024913,"Hickory-Passport silt loams, 10 to 18 percent slopes, eroded",Passport,40,Somewhat poorly drained,0.0,10.0,1.6,7.0,0.2,17.0,17.0,66.0,1.5,9.2,FIELD_0010
2024914,"Hickory-Passport clay loams, 10 to 18 percent slopes, severely eroded",Passport,40,Somewhat poorly drained,0.0,10.0,0.75,7.0,0.13,31.0,30.0,39.0,1.55,16.5,FIELD_0010
2024913,"Hickory-Passport silt loams, 10 to 18 percent slopes, eroded",Passport,40,Somewhat poorly drained,10.0,81.0,0.35,5.9,0.13,28.0,27.0,45.0,1.6,14.7,FIELD_0010
2024914,"Hickory-Passport clay loams, 10 to 18 percent slopes, severely eroded",Passport,40,Somewhat poorly drained,10.0,81.0,0.35,5.9,0.13,28.0,27.0,45.0,1.6,14.7,FIELD_0010
2231394,"Bonnie silt loam, sodic, 0 to 2 percent slopes, frequently flooded",Belknap,10,Somewhat poorly drained,,,,,,,,,,,FIELD_0010
1902644,"Ava silt loam, 2 to 5 percent slopes",Bluford,10,Somewhat poorly drained,0.0,18.0,1.75,6.6,0.22,15.0,8.0,77.0,1.4,13.2,FIELD_0010
1906363,"Wynoose silt loam, 0 to 2 percent slopes",Bluford,10,Somewhat poorly drained,0.0,18.0,1.75,6.6,0.22,15.0,8.0,77.0,1.4,13.2,FIELD_0010
1906364,"Bluford silt loam, 0 to 2 percent slopes",Wynoose,10,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.4,13.9,FIELD_0010
2024117,"Ava silt loam, 5 to 10 percent slopes, eroded",Bluford,10,Somewhat poorly drained,0.0,15.0,1.75,6.6,0.22,15.0,8.0,77.0,1.4,13.2,FIELD_0010
2025099,"Piopolis silty clay loam, 0 to 2 percent slopes, frequently flooded",Belknap,10,Somewhat poorly drained,0.0,18.0,2.5,5.9,0.23,16.0,5.0,79.0,1.43,8.7,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Rend,10,Moderately well drained,0.0,15.0,1.5,5.9,0.23,17.0,5.0,78.0,1.45,9.2,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Rend,10,Moderately well drained,0.0,15.0,1.5,5.9,0.23,17.0,5.0,78.0,1.45,9.2,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Hoyleton,10,Somewhat poorly drained,0.0,20.0,3.0,6.0,0.22,15.0,8.0,77.0,1.35,13.4,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Bluford,10,Somewhat poorly drained,0.0,18.0,1.75,6.6,0.22,15.0,8.0,77.0,1.48,13.2,FIELD_0010
2024117,"Ava silt loam, 5 to 10 percent slopes, eroded",Bluford,10,Somewhat poorly drained,15.0,23.0,0.65,5.0,0.22,19.0,7.0,74.0,1.48,,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Rend,10,Moderately well drained,15.0,58.0,0.5,5.0,0.22,31.0,3.0,66.0,1.43,,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Rend,10,Moderately well drained,15.0,58.0,0.5,5.0,0.22,31.0,3.0,66.0,1.43,,FIELD_0010
1902644,"Ava silt loam, 2 to 5 percent slopes",Bluford,10,Somewhat poorly drained,18.0,49.0,0.65,5.0,0.22,19.0,7.0,74.0,1.48,,FIELD_0010
1906363,"Wynoose silt loam, 0 to 2 percent slopes",Bluford,10,Somewhat poorly drained,18.0,49.0,0.65,5.0,0.22,19.0,7.0,74.0,1.48,,FIELD_0010
1906364,"Bluford silt loam, 0 to 2 percent slopes",Wynoose,10,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.4,,FIELD_0010
2025099,"Piopolis silty clay loam, 0 to 2 percent slopes, frequently flooded",Belknap,10,Somewhat poorly drained,18.0,150.0,1.0,5.2,0.21,16.0,5.0,79.0,1.48,,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Bluford,10,Somewhat poorly drained,18.0,49.0,0.65,5.0,0.22,19.0,7.0,74.0,1.47,,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Hoyleton,10,Somewhat poorly drained,20.0,28.0,0.6,5.5,0.19,19.0,5.0,76.0,1.5,,FIELD_0010
2024117,"Ava silt loam, 5 to 10 percent slopes, eroded",Bluford,10,Somewhat poorly drained,23.0,81.0,0.35,4.7,0.14,41.0,3.0,56.0,1.4,,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Hoyleton,10,Somewhat poorly drained,28.0,99.0,0.3,5.1,0.14,39.0,3.0,58.0,1.41,,FIELD_0010
2025098,"Belknap silt loam, 0 to 2 percent slopes, frequently flooded",Bonnie,5,Poorly drained,,,,,,,,,,,FIELD_0010
2025098,"Belknap silt loam, 0 to 2 percent slopes, frequently flooded",Piopolis,5,Poorly drained,,,,,,,,,,,FIELD_0010
1906366,"Bluford silt loam, 2 to 5 percent slopes",Ava,5,Moderately well drained,0.0,15.0,2.0,6.3,0.22,15.0,7.0,78.0,1.45,8.2,FIELD_0010
1906366,"Bluford silt loam, 2 to 5 percent slopes",Wynoose,5,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.4,13.9,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Ava,5,Moderately well drained,0.0,15.0,2.0,6.3,0.22,15.0,7.0,78.0,1.45,8.2,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Wynoose,5,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.4,13.9,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Wynoose,5,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.45,13.9,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Rend,5,Moderately well drained,0.0,15.0,1.5,5.9,0.23,17.0,5.0,78.0,1.45,9.2,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Bonnie,5,Poorly drained,0.0,25.0,2.0,6.0,0.24,20.0,8.0,72.0,1.41,10.8,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Racoon,5,Poorly drained,0.0,15.0,2.0,7.0,0.22,18.0,6.0,76.0,1.4,15.5,FIELD_0010
1906366,"Bluford silt loam, 2 to 5 percent slopes",Ava,5,Moderately well drained,15.0,36.0,0.7,5.3,0.22,17.0,5.0,78.0,1.45,,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Ava,5,Moderately well drained,15.0,36.0,0.7,5.3,0.22,17.0,5.0,78.0,1.45,,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Rend,5,Moderately well drained,15.0,58.0,0.5,5.0,0.22,31.0,3.0,66.0,1.43,,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Racoon,5,Poorly drained,15.0,76.0,0.5,5.2,0.2,20.0,7.0,73.0,1.49,,FIELD_0010
1906366,"Bluford silt loam, 2 to 5 percent slopes",Wynoose,5,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.4,,FIELD_0010
1906367,"Bluford silt loam, 2 to 5 percent slopes, eroded",Wynoose,5,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.4,,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Wynoose,5,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.46,,FIELD_0010
3210776,"Wynoose silt loam, bench, 0 to 2 percent slopes",Bonnie,5,Poorly drained,25.0,69.0,0.5,5.5,0.23,23.0,8.0,69.0,1.37,,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Ava,4,Moderately well drained,0.0,23.0,1.25,5.9,0.22,18.0,5.0,77.0,1.5,9.7,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Ava,4,Moderately well drained,0.0,23.0,1.25,5.9,0.22,18.0,5.0,77.0,1.5,9.7,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Darmstadt,4,Somewhat poorly drained,0.0,13.0,1.25,7.3,0.21,21.0,5.0,74.0,1.5,17.5,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Darmstadt,4,Somewhat poorly drained,13.0,53.0,0.3,7.7,0.16,33.0,4.0,63.0,1.4,24.9,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Ava,4,Moderately well drained,23.0,71.0,0.5,5.0,0.17,31.0,3.0,66.0,1.5,,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Ava,4,Moderately well drained,23.0,71.0,0.5,5.0,0.17,31.0,3.0,66.0,1.5,,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Grantfork,3,Somewhat poorly drained,,,,,,,,,,,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Hickory,3,Well drained,0.0,15.0,1.5,6.2,0.2,20.0,25.0,55.0,1.51,10.8,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Wynoose,3,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.45,13.9,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Wynoose,3,Poorly drained,0.0,18.0,1.5,6.6,0.22,16.0,8.0,76.0,1.45,13.9,FIELD_0010
1906356,"Passport silt loam, 5 to 10 percent slopes, eroded",Hickory,3,Well drained,15.0,67.0,0.6,5.9,0.18,30.0,33.0,37.0,1.5,15.9,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Wynoose,3,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.46,,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Wynoose,3,Poorly drained,18.0,49.0,0.65,4.7,0.22,16.0,8.0,76.0,1.46,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Cisne,2,Poorly drained,,,,,,,,,,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Cowden,2,Poorly drained,,,,,,,,,,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Huey,2,Poorly drained,,,,,,,,,,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Newberry,2,Poorly drained,,,,,,,,,,,FIELD_0010
1902261,"Hoyleton silt loam, 0 to 2 percent slopes",Virden,2,Poorly drained,,,,,,,,,,,FIELD_0010
1906358,"Blair silt loam, 5 to 10 percent slopes, eroded",Wakeland,2,Somewhat poorly drained,,,,,,,,,,,FIELD_0010
2027464,"Creal silt loam, 0 to 2 percent slopes, rarely flooded",Racoon,2,Poorly drained,0.0,15.0,2.0,7.0,0.22,18.0,6.0,76.0,1.4,15.5,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Bonnie,2,Poorly drained,0.0,25.0,2.0,6.0,0.24,20.0,8.0,72.0,1.41,10.8,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Bonnie,2,Poorly drained,0.0,25.0,2.0,6.0,0.24,20.0,8.0,72.0,1.41,10.8,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Bonnie,2,Poorly drained,0.0,25.0,2.0,6.0,0.24,20.0,8.0,72.0,1.41,10.8,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Bonnie,2,Poorly drained,0.0,25.0,2.0,6.0,0.24,20.0,8.0,72.0,1.41,10.8,FIELD_0010
2027464,"Creal silt loam, 0 to 2 percent slopes, rarely flooded",Racoon,2,Poorly drained,15.0,76.0,0.5,5.2,0.2,20.0,7.0,73.0,1.45,16.2,FIELD_0010
3210771,"Bluford silt loam, bench, 2 to 5 percent slopes",Bonnie,2,Poorly drained,25.0,69.0,0.5,5.5,0.23,23.0,8.0,69.0,1.37,,FIELD_0010
3210772,"Bluford silt loam, bench, 2 to 5 percent slopes, eroded",Bonnie,2,Poorly drained,25.0,69.0,0.5,5.5,0.23,23.0,8.0,69.0,1.37,,FIELD_0010
3210773,"Cisne silt loam, bench, 0 to 2 percent slopes",Bonnie,2,Poorly drained,25.0,69.0,0.5,5.5,0.23,23.0,8.0,69.0,1.37,,FIELD_0010
3210775,"Hoyleton silt loam, bench, 2 to 5 percent slopes",Bonnie,2,Poorly drained,25.0,69.0,0.5,5.5,0.23,23.0,8.0,69.0,1.37,,FIELD_0010
